Location,latitude,longitude
"Austin, TX",30.2711286,-97.7436995
"Dallas, TX",32.7762719,-96.7968559
"Houston, TX",29.7589382,-95.3676974
"The Woodlands, TX",30.1734194,-95.504686
"Houston, TX (+1 other)",,
"Houston, TX",29.7589382,-95.3676974
"Plano, TX (+6 others)",,
"Houston, TX",29.7589382,-95.3676974
"Houston, TX",29.7589382,-95.3676974
"Austin, TX",30.2711286,-97.7436995
"New York, NY",40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
"Los Angeles, CA",34.0536909,-118.242766
"Santa Monica, CA",34.0194704,-118.491227
"Los Angeles, CA",34.0536909,-118.242766
"Pomona, CA",34.0553813,-117.7517496
"Irvine, CA",33.6856969,-117.825981
"Foothill Ranch, California",33.6837644,-117.662249
"Huntington Beach, CA",33.6783336,-118.000016
"Los Angeles, CA",34.0536909,-118.242766
"Irvine, CA",33.6856969,-117.825981
"Santa Monica, CA",34.0194704,-118.491227
"Charlotte, NC",35.2272086,-80.8430827
"Atlanta, GA",33.7489924,-84.3902644
Florida,27.7567667,-81.4639835
Anywhere,-14.1601396,33.8624178
"Tampa, FL",27.9477595,-82.458444
"Jupiter, FL",26.9342246,-80.0942087
"Tampa, FL",27.9477595,-82.458444
"Orlando, FL",28.5421109,-81.3790304
"Jacksonville, FL",30.3321838,-81.655651
"Pensacola, FL",30.421309,-87.2169149
"Tampa, FL",27.9477595,-82.458444
"Orlando, FL",28.5421109,-81.3790304
"Port Charlotte, FL",26.982419999999998,-82.10688734598534
"Coral Springs, FL",26.271192,-80.2706044
"Coral Gables, FL",25.7331105,-80.2585107
"Hurlburt Field, FL",30.4312921,-86.69022912473963
"Atlanta, GA",33.7489924,-84.3902644
"Miami, FL",25.7741728,-80.19362
"Miami, FL",25.7741728,-80.19362
"Alameda, CA",37.6090291,-121.899142
"San Francisco, CA",37.7792588,-122.4193286
"Walnut Creek, CA",37.9020731,-122.0618702
"Santa Clara, CA",37.3541132,-121.955174
"San Mateo, CA",37.496904,-122.3330573
"Mountain View, CA",37.3893889,-122.0832101
"San Francisco, CA",37.7792588,-122.4193286
"Sunnyvale, CA",37.3688301,-122.036349
"San Francisco, CA",37.7792588,-122.4193286
Anywhere,-14.1601396,33.8624178
"Eden Prairie, MN",44.8546856,-93.470786
"Pittsburgh, PA",40.4416941,-79.9900861
"North Liberty, IA",41.7478297,-91.6064397
"Dayton, OH",39.7589478,-84.1916069
"Huntsville, AL",34.729847,-86.5859011
"Chicago, IL (+1 other)",,
"Columbus, OH",39.9622601,-83.0007065
Minnesota,45.9896587,-94.6113288
"Columbus, OH",39.9622601,-83.0007065
"Louisville, KY",38.2542376,-85.759407
"St. Louis, MO",38.6280278,-90.1910154
"Chicago, IL",41.8755616,-87.6244212
"North Chicago, IL",42.327724,-87.8394189
"Highlands Ranch, CO",39.5497243,-104.969565
"Chicago, IL",41.8755616,-87.6244212
"Huntsville, AL",34.729847,-86.5859011
"Dallas, TX",32.7762719,-96.7968559
"Fort Worth, TX",32.753177,-97.3327459
"Chicago, IL (+6 others)",,
"Danville, PA",40.9664806,-76.6131474
"Malvern, PA",40.036202,-75.5138959
"Annapolis Junction, MD",39.11899645,-76.79634174556091
"Boston, MA",42.3554334,-71.060511
"Albany, NY",42.6511674,-73.754968
"Annapolis Junction, MD",39.11899645,-76.79634174556091
"New York, NY",40.7127281,-74.0060152
"New York, NY",40.7127281,-74.0060152
Anywhere,-14.1601396,33.8624178
"Mt Pleasant, SC",32.7940651,-79.8625851
"Chicago, IL",41.8755616,-87.6244212
Anywhere,-14.1601396,33.8624178
"St. Louis, MO (+1 other)",,
"Leawood, KS",38.966673,-94.6169012
"Austin, TX",30.2711286,-97.7436995
"St. Louis, MO",38.6280278,-90.1910154
Colorado,38.7251776,-105.607716
"Irving, TX",32.8295183,-96.9442177
United States,39.7837304,-100.445882
"Draper, UT",40.5247777,-111.8627989
"Sunnyvale, CA",37.3688301,-122.036349
Anywhere,-14.1601396,33.8624178
"San Bruno, CA",37.6248536,-122.4145986
"San Diego, CA",32.7174202,-117.162772
"San Diego, CA",32.7174202,-117.162772
"Santa Barbara, CA",34.4221319,-119.702667
"Carson City, NV",39.1663259,-119.7670374
"San Jose, CA",37.3361663,-121.890591
"San Francisco, CA",37.7792588,-122.4193286
Anywhere,-14.1601396,33.8624178
"Warr Acres, OK",35.5225569,-97.6189353
Illinois,40.0796606,-89.4337288
"Chattanooga, TN",35.0457219,-85.3094883
"Austin, TX",30.2711286,-97.7436995
"Olathe, KS",38.8838856,-94.81887
"Brooklyn Park, MN",45.1004807,-93.3443585
Indiana,40.3270127,-86.1746933
United States,39.7837304,-100.445882
"Austin, TX",30.2711286,-97.7436995
"San Jose, CA",37.3361663,-121.890591
"San Ramon, CA",37.7648021,-121.9544387
"Tempe, AZ",33.4255117,-111.940016
"Palo Alto, CA",37.4443293,-122.1598465
"San Francisco, CA",37.7792588,-122.4193286
"Fairmont, CA",46.81182845,-71.20554902764246
"Irvine, CA (+62 others)",,
"San Francisco, CA",37.7792588,-122.4193286
"Sunnyvale, CA",37.3688301,-122.036349
"Los Angeles, CA (+2 others)",,
Tennessee,35.7730076,-86.2820081
"Atlanta, GA",33.7489924,-84.3902644
"Atlanta, GA",33.7489924,-84.3902644
Anywhere,-14.1601396,33.8624178
"Newark, NJ",40.735657,-74.1723667
"Raleigh, NC",35.7803977,-78.6390989
"Newark, NJ",40.735657,-74.1723667
"Cleveland, OH",41.4996574,-81.6936772
Anywhere,-14.1601396,33.8624178
"South San Francisco, CA",37.6535403,-122.4168664
"Las Vegas, NV",36.1672559,-115.148516
"Phoenix, AZ",33.4484367,-112.074141
Anywhere,-14.1601396,33.8624178
"Bakersfield, CA",35.3738712,-119.019463
"Hayward, CA",37.6688205,-122.080796
"San Francisco, CA",37.7792588,-122.4193286
"Gilbert, AZ",33.3527632,-111.789037
"Mountain View, CA",37.3893889,-122.0832101
"Nashville, TN",36.1622767,-86.7742984
Anywhere,-14.1601396,33.8624178
North Carolina,35.6729639,-79.0392919
"Pittsburgh, PA",40.4416941,-79.9900861
"Cary, NC",35.7882893,-78.7812081
"Cincinnati, OH",39.1014537,-84.5124602
Anywhere,-14.1601396,33.8624178
"Warrendale, PA",40.6534001,-80.079503
"Malvern, PA",40.036202,-75.5138959
"Houston, PA",40.2464593,-80.2114472
"Dublin, OH",40.0996009,-83.1135563
"Dayton, OH",39.7589478,-84.1916069
"Charleston, WV",38.3505995,-81.6332812
"Day Heights, OH",39.1736828,-84.23003496335247
"Columbus, OH",39.9622601,-83.0007065
"Coraopolis, PA",40.5175351,-80.1643232
"Westerville, OH",40.126139,-82.9295287
"Pittsburgh, PA",40.4416941,-79.9900861
"Monroeville, PA",40.4211798,-79.7881025
Texas,31.2638905,-98.5456116
"Baytown, TX",29.7355047,-94.9774274
"Germantown, TN",35.0867577,-89.8100858
"Little Rock, AR",34.7465071,-92.2896267
Anywhere,-14.1601396,33.8624178
"San Antonio, TX",29.4246002,-98.4951405
"Atlanta, GA",33.7489924,-84.3902644
"Austin, TX",30.2711286,-97.7436995
"Atlanta, GA",33.7489924,-84.3902644
"Sarasota, FL",27.3365805,-82.5308545
"Tucson, AZ",32.2228765,-110.974847
Arizona,34.395342,-111.763275
"Beverly Hills, CA",34.0696501,-118.3963062
"Mountain View, CA",37.3893889,-122.0832101
"Sunnyvale, CA",37.3688301,-122.036349
Anywhere,-14.1601396,33.8624178
"San Bruno, CA",37.6248536,-122.4145986
Utah,39.4225192,-111.714358
"Lehi, UT",40.3881114,-111.8486019
"Cupertino, CA",37.3228934,-122.0322895
"Huntsville, AL",34.729847,-86.5859011
"Bentonville, AR",36.3728538,-94.2088172
"Albuquerque, NM",35.0841034,-106.650985
"Houston, TX",29.7589382,-95.3676974
"Pea Ridge, AR",36.4515042,-94.1162147
"Austin, TX",30.2711286,-97.7436995
"Santa Fe, NM",35.6876096,-105.938456
Anywhere,-14.1601396,33.8624178
"South Houston, TX",29.663008,-95.2354902
"Somerville, MA",42.3875968,-71.0994968
New Jersey,40.0757384,-74.4041622
"Boston, MA",42.3554334,-71.060511
"Plainsboro Township, NJ",40.3334409,-74.6004341
"Cambridge, MA",42.3656347,-71.1040018
"Elizabeth, NJ",40.6639916,-74.2107006
"McLean, VA",38.93668525,-77.1858430261388
"Boston, MA",42.3554334,-71.060511
"McLean, VA",38.93668525,-77.1858430261388
"Columbus, OH",39.9622601,-83.0007065
"Decatur, AR",36.3359112,-94.4607707
Wyoming,43.1700264,-107.568534
"South Bend, IN",41.6833813,-86.2500066
"Springfield, IL",39.7990175,-89.6439575
"Peoria, IL",40.6938609,-89.5891008
United States,39.7837304,-100.445882
